Wavelength_(nm),Intensity_(Counts),,,Wavelength_(nm),Intensity(Counts)
340.712,3.83,,,340.712,-45.8
341.091,3.83,,,341.091,-45.8
341.47,3.83,,,341.47,-45.8
341.849,-1.07,,,341.849,0.77
342.229,-135.86,,,342.229,-53.15
342.608,-5.97,,,342.608,69.39
342.987,-77.04,,,342.987,-97.26
343.366,55.29,,,343.366,20.37
343.745,-40.28,,,343.745,13.02
344.124,20.98,,,344.124,-102.16
344.503,18.53,,,344.503,88.99
344.881,20.98,,,344.881,-70.31
345.26,-5.97,,,345.26,-92.36
345.639,45.49,,,345.639,128.2
346.018,-47.64,,,346.018,22.82
346.396,-20.68,,,346.396,-16.39
346.775,-28.03,,,346.775,-6.59
347.154,45.49,,,347.154,88.99
347.532,23.44,,,347.532,-28.64
347.911,50.39,,,347.911,-33.54
348.289,-54.99,,,348.289,15.47
348.668,-18.23,,,348.668,-28.64
349.046,-15.78,,,349.046,79.19
349.425,-72.14,,,349.425,86.54
349.803,30.79,,,349.803,44.88
350.181,1.38,,,350.181,84.09
350.56,-126.06,,,350.56,-77.66
350.938,-54.99,,,350.938,25.27
351.316,-5.97,,,351.316,86.54
351.694,84.7,,,351.694,27.72
352.072,-52.54,,,352.072,-43.35
352.45,89.6,,,352.45,17.92
352.828,82.25,,,352.828,71.84
353.206,-15.78,,,353.206,62.03
353.584,-15.78,,,353.584,-85.01
353.962,-25.58,,,353.962,13.02
354.34,-67.24,,,354.34,-26.19
354.718,-23.13,,,354.718,54.68
355.095,-3.52,,,355.095,-4.14
355.473,-91.75,,,355.473,-23.74
355.851,-32.93,,,355.851,59.58
356.229,-96.65,,,356.229,-97.26
356.606,47.94,,,356.606,57.13
356.984,-15.78,,,356.984,160.06
357.361,-99.1,,,357.361,-138.93
357.739,-20.68,,,357.739,-62.95
358.116,20.98,,,358.116,3.22
358.494,-1.07,,,358.494,47.33
358.871,16.08,,,358.871,49.78
359.248,-25.58,,,359.248,-31.09
359.626,18.53,,,359.626,35.08
360.003,-23.13,,,360.003,-43.35
360.38,96.96,,,360.38,96.34
360.757,18.53,,,360.757,17.92
361.134,-64.79,,,361.134,62.03
361.511,96.96,,,361.511,74.29
361.888,18.53,,,361.888,-6.59
362.265,79.8,,,362.265,-21.29
362.642,18.53,,,362.642,57.13
363.019,-1.07,,,363.019,15.47
363.396,126.37,,,363.396,54.68
363.773,55.29,,,363.773,133.11
364.15,-28.03,,,364.15,32.63
364.527,-23.13,,,364.527,8.12
364.903,-74.59,,,364.903,88.99
365.28,-69.69,,,365.28,0.77
365.657,-5.97,,,365.657,84.09
366.033,-37.83,,,366.033,30.17
366.41,92.06,,,366.41,86.54
366.786,1.38,,,366.786,8.12
367.163,28.34,,,367.163,-45.8
367.539,111.66,,,367.539,13.02
367.915,-37.83,,,367.915,0.77
368.292,79.8,,,368.292,57.13
368.668,74.9,,,368.668,27.72
369.044,30.79,,,369.044,59.58
369.421,28.34,,,369.421,0.77
369.797,-42.73,,,369.797,-43.35
370.173,25.89,,,370.173,32.63
370.549,611.61,,,370.549,-45.8
370.925,-32.93,,,370.925,-102.16
371.301,-72.14,,,371.301,-77.66
371.677,-10.88,,,371.677,64.48
372.053,-20.68,,,372.053,-13.94
372.429,28.34,,,372.429,10.57
372.805,87.15,,,372.805,20.37
373.181,43.04,,,373.181,42.43
373.556,-89.3,,,373.556,-4.14
373.932,-64.79,,,373.932,49.78
374.308,-94.2,,,374.308,42.43
374.683,55.29,,,374.683,93.89
375.059,43.04,,,375.059,103.7
375.435,116.56,,,375.435,74.29
375.81,74.9,,,375.81,71.84
376.186,-28.03,,,376.186,39.98
376.561,13.63,,,376.561,13.02
376.936,-20.68,,,376.936,22.82
377.312,-57.44,,,377.312,-60.5
377.687,-45.19,,,377.687,-72.76
378.062,-8.42,,,378.062,54.68
378.438,-62.34,,,378.438,-18.84
378.813,84.7,,,378.813,-43.35
379.188,-155.47,,,379.188,-50.7
379.563,-37.83,,,379.563,-18.84
379.938,-8.42,,,379.938,98.8
380.313,47.94,,,380.313,-70.31
380.688,116.56,,,380.688,47.33
381.063,35.69,,,381.063,57.13
381.438,50.39,,,381.438,118.4
381.813,-8.42,,,381.813,32.63
382.188,-47.64,,,382.188,-6.59
382.563,16.08,,,382.563,115.95
382.937,13.63,,,382.937,52.23
383.312,-23.13,,,383.312,-40.9
383.687,50.39,,,383.687,113.5
384.061,-8.42,,,384.061,-13.94
384.436,33.24,,,384.436,32.63
384.81,-77.04,,,384.81,15.47
385.185,-1.07,,,385.185,-70.31
385.559,40.59,,,385.559,-48.25
385.934,-57.44,,,385.934,-92.36
386.308,-15.78,,,386.308,39.98
386.682,25.89,,,386.682,128.2
387.057,-89.3,,,387.057,-36
387.431,20.98,,,387.431,-4.14
387.805,-13.33,,,387.805,71.84
388.179,45.49,,,388.179,17.92
388.553,-30.48,,,388.553,57.13
388.927,77.35,,,388.927,-18.84
389.301,-13.33,,,389.301,-33.54
389.675,43.04,,,389.675,108.6
390.049,-30.48,,,390.049,22.82
390.423,45.49,,,390.423,3.22
390.797,104.31,,,390.797,84.09
391.171,-5.97,,,391.171,96.34
391.545,55.29,,,391.545,52.23
391.919,-81.95,,,391.919,30.17
392.292,-79.5,,,392.292,-13.94
392.666,-54.99,,,392.666,111.05
393.04,1.38,,,393.04,-11.49
393.413,-5.97,,,393.413,39.98
393.787,131.27,,,393.787,84.09
394.16,20.98,,,394.16,62.03
394.534,55.29,,,394.534,152.71
394.907,25.89,,,394.907,101.25
395.28,136.17,,,395.28,25.27
395.654,96.96,,,395.654,32.63
396.027,-18.23,,,396.027,-77.66
396.4,67.55,,,396.4,22.82
396.773,3.83,,,396.773,25.27
397.147,-1.07,,,397.147,-97.26
397.52,89.6,,,397.52,138.01
397.893,40.59,,,397.893,79.19
398.266,1.38,,,398.266,35.08
398.639,60.2,,,398.639,98.8
399.012,57.75,,,399.012,-1.68
399.385,-37.83,,,399.385,62.03
399.757,60.2,,,399.757,135.56
400.13,89.6,,,400.13,62.03
400.503,89.6,,,400.503,88.99
400.876,96.96,,,400.876,145.36
401.248,16.08,,,401.248,69.39
401.621,84.7,,,401.621,120.85
401.994,55.29,,,401.994,54.68
402.366,11.18,,,402.366,3.22
402.739,-10.88,,,402.739,13.02
403.111,72.45,,,403.111,93.89
403.484,82.25,,,403.484,35.08
403.856,141.07,,,403.856,69.39
404.229,-13.33,,,404.229,-9.04
404.601,65.1,,,404.601,69.39
404.973,109.21,,,404.973,69.39
405.345,18.53,,,405.345,120.85
405.718,229.3,,,405.718,113.5
406.09,-1.07,,,406.09,120.85
406.462,-59.89,,,406.462,37.53
406.834,99.41,,,406.834,32.63
407.206,33.24,,,407.206,74.29
407.578,-8.42,,,407.578,-33.54
407.95,11.18,,,407.95,-38.45
408.322,28.34,,,408.322,42.43
408.693,79.8,,,408.693,59.58
409.065,87.15,,,409.065,8.12
409.437,-101.55,,,409.437,64.48
409.809,104.31,,,409.809,64.48
410.18,8.73,,,410.18,118.4
410.552,45.49,,,410.552,69.39
410.924,-25.58,,,410.924,27.72
411.295,-5.97,,,411.295,57.13
411.667,57.75,,,411.667,15.47
412.038,-13.33,,,412.038,113.5
412.41,43.04,,,412.41,-26.19
412.781,-64.79,,,412.781,-31.09
413.152,28.34,,,413.152,120.85
413.524,-30.48,,,413.524,-107.07
413.895,111.66,,,413.895,150.26
414.266,-15.78,,,414.266,35.08
414.637,-28.03,,,414.637,42.43
415.008,87.15,,,415.008,35.08
415.38,-32.93,,,415.38,30.17
415.751,-94.2,,,415.751,-77.66
416.122,20.98,,,416.122,59.58
416.493,1.38,,,416.493,-43.35
416.863,-47.64,,,416.863,106.15
417.234,18.53,,,417.234,113.5
417.605,62.65,,,417.605,5.67
417.976,6.28,,,417.976,86.54
418.347,74.9,,,418.347,54.68
418.717,-28.03,,,418.717,-1.68
419.088,62.65,,,419.088,-43.35
419.459,-62.34,,,419.459,-67.85
419.829,-99.1,,,419.829,-85.01
420.2,-128.51,,,420.2,-33.54
420.57,89.6,,,420.57,71.84
420.941,74.9,,,420.941,79.19
421.311,62.65,,,421.311,54.68
421.682,-32.93,,,421.682,-33.54
422.052,-32.93,,,422.052,-6.59
422.422,-23.13,,,422.422,-13.94
422.792,47.94,,,422.792,5.67
423.163,25.89,,,423.163,98.8
423.533,-40.28,,,423.533,86.54
423.903,72.45,,,423.903,-43.35
424.273,-35.38,,,424.273,8.12
424.643,-23.13,,,424.643,76.74
425.013,-118.71,,,425.013,-43.35
425.383,-5.97,,,425.383,-94.81
425.753,-1.07,,,425.753,-40.9
