Wavelength(nm),Abs,PL_(intensity)
187.928,0,
188.405,0,
188.882,0,
189.359,-0.55,
189.835,0,
190.312,-0.18,
190.789,0,
191.265,-1.16,
191.742,0,
192.219,-0.26,
192.695,-0.77,
193.172,0.27,
193.648,-0.03,
194.125,0,
194.601,0,
195.077,-0.23,
195.554,0,
196.03,0,
196.506,0,
196.983,0,
197.459,-0.15,
197.935,0,
198.411,0,
198.887,0,
199.363,0.55,
199.839,1.05,
200.315,0,
200.791,0,
201.267,-0.32,
201.743,0.05,
202.219,1.11,
202.695,0,
203.171,0.71,
203.647,0,
204.122,0.35,
204.598,0,
205.074,0,
205.549,-0.12,
206.025,0.25,
206.501,0,
206.976,-0.17,
207.452,0.48,
207.927,0,
208.402,-0.05,
208.878,0,
209.353,0.03,
209.829,1.31,
210.304,0,
210.779,0.38,
211.254,0.17,
211.73,0.29,
212.205,-1.55,
212.68,-0.36,
213.155,0.04,
213.63,0,
214.105,0,
214.58,0,
215.055,0.24,
215.53,0.29,
216.005,0.22,
216.48,0,
216.954,-0.03,
217.429,-0.96,
217.904,0.79,
218.379,-0.01,
218.853,0.05,
219.328,0,
219.803,0.37,
220.277,0.03,
220.752,0,
221.226,0,
221.701,0.48,
222.175,0,
222.65,-1.04,
223.124,0,
223.598,0,
224.073,0,
224.547,-0.31,
225.021,0,
225.495,0.02,
225.97,-0.1,
226.444,0.13,
226.918,0,
227.392,-0.23,
227.866,0,
228.34,0.12,
228.814,0.19,
229.288,0,
229.762,0.74,
230.236,0,
230.71,0.38,
231.183,0,
231.657,-0.02,
232.131,-1.46,
232.605,-0.11,
233.078,0.01,
233.552,0,
234.026,0.14,
234.499,0,
234.973,-0.91,
235.446,-0.08,
235.92,-0.02,
236.393,-0.6,
236.867,-0.56,
237.34,-0.07,
237.813,0.36,
238.287,0.22,
238.76,0.38,
239.233,0,
239.706,0,
240.179,0,
240.653,0,
241.126,-0.19,
241.599,-0.2,
242.072,0.41,
242.545,-0.33,
243.018,0,
243.491,0.63,
243.964,0.77,
244.437,0.11,
244.909,-0.19,
245.382,-0.22,
245.855,0.62,
246.328,0,
246.8,-0.2,
247.273,0,
247.746,1.16,
248.218,0.25,
248.691,0.35,
249.163,0.52,
249.636,0.38,
250.108,1.16,
250.581,1.33,
251.053,0.01,
251.526,1.29,
251.998,0.29,
252.47,0.08,
252.943,-0.84,
253.415,0,
253.887,0.49,
254.359,0.65,
254.831,-0.15,
255.304,-0.35,
255.776,0,
256.248,-0.01,
256.72,0.03,
257.192,1.09,
257.664,1.22,
258.136,1.54,
258.607,0.51,
259.079,0.1,
259.551,0.4,
260.023,0.5,
260.495,0,
260.966,-0.13,
261.438,0.33,
261.91,0.66,
262.381,-0.26,
262.853,0,
263.325,0,
263.796,0,
264.268,0,
264.739,0,
265.21,0,
265.682,0,
266.153,0,
266.624,0.29,
267.096,-0.43,
267.567,0,
268.038,0,
268.509,0.26,
268.981,0.06,
